gid,payer_of_couriers,payer_weak,courier_candidate,beneficiary,in_cycle,layering,split_in,dates_ok,pay_seeds,pay_seeds_kzt,L,sameday,chain,split,flags_evidence
100000000343175100,False,False,False,False,False,False,True,True,0,0,0.0,0,0,2,дробление: 2 раз получал несколько переводов от одного плательщика за день
100000000456947100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000000580561100,False,False,False,False,True,False,False,True,0,0,0.0,0,0,0,стоит в замкнутом маршруте ≤ 6 шагов
100000001415126100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000001429930100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000001616816100,False,False,False,False,True,False,True,True,0,0,0.0,0,0,3,стоит в замкнутом маршруте ≤ 6 шагов; дробление: 3 раз получал несколько переводов от одного плательщика за день
100000001732159100,False,False,False,False,True,True,True,True,2,703966,0.0,0,4,6,стоит в замкнутом маршруте ≤ 6 шагов; последовательная цепочка транзитов длиной 5 узлов; дробление: 6 раз получал несколько переводов от одного плательщика за день
100000002527114100,False,False,False,False,True,False,False,True,0,0,0.0,0,0,0,стоит в замкнутом маршруте ≤ 6 шагов
100000002916006100,False,False,False,False,False,False,False,False,1,32000,0.0,0,0,0,
100000003016635100,False,False,False,False,True,False,True,True,0,0,0.0,0,0,10,стоит в замкнутом маршруте ≤ 6 шагов; дробление: 10 раз получал несколько переводов от одного плательщика за день
100000003200071100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000003265658100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000003349739100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000003684369100,False,False,False,False,True,False,True,True,0,0,0.0,0,0,10,стоит в замкнутом маршруте ≤ 6 шагов; дробление: 10 раз получал несколько переводов от одного плательщика за день
100000003770083100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000003975102100,False,False,False,False,False,True,False,True,2,88500,0.0,0,3,0,последовательная цепочка транзитов длиной 4 узлов
100000003977183100,False,False,False,False,True,False,False,True,0,0,0.0,0,1,0,стоит в замкнутом маршруте ≤ 6 шагов
100000004007116100,False,False,False,False,True,False,True,True,0,0,0.0,0,0,7,стоит в замкнутом маршруте ≤ 6 шагов; дробление: 7 раз получал несколько переводов от одного плательщика за день
100000004019124100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000004021459100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000004041163100,False,False,False,False,True,False,False,True,2,866000,0.0,0,0,0,стоит в замкнутом маршруте ≤ 6 шагов
100000004174835100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000004193835100,False,False,False,False,False,False,False,True,1,5000,0.0,0,0,0,
100000004269433100,False,False,False,False,False,False,False,False,1,1372000,0.0,0,1,0,
100000004358004100,False,False,False,False,False,False,False,False,1,233000,0.0,0,0,0,
100000004388983100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000004714705100,False,False,False,False,False,False,False,False,1,36550,0.0,0,1,0,
100000004723755100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000004813068100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000004971871100,False,False,False,False,True,False,False,True,0,0,0.0,0,0,0,стоит в замкнутом маршруте ≤ 6 шагов
100000005017150100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005087431100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005235389100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005264990100,False,False,False,False,False,False,False,True,1,53000,0.0,0,0,0,
100000005370580100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005382566100,False,False,False,False,True,False,False,True,1,50000,0.0,0,0,0,стоит в замкнутом маршруте ≤ 6 шагов
100000005386383100,False,False,False,False,False,False,False,False,1,29000,0.0,0,1,0,
100000005392290100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005395727100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005409680100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005417257100,False,False,False,False,False,False,False,False,1,80000,0.0,0,0,0,
100000005454368100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005480435100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005485830100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005493505100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005495722100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005498992100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005519347100,False,False,False,False,False,True,False,True,1,99000,0.0,0,3,0,последовательная цепочка транзитов длиной 4 узлов
100000005523088100,False,False,False,True,False,False,False,False,0,0,0.0,0,0,1,конечный получатель: осело 700 тыс. ₸ денег курьеров (1%)
100000005543136100,False,False,False,False,False,False,False,False,1,10000,0.0,0,0,0,
100000005550592100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
100000005560900100,False,False,False,False,False,False,False,False,0,0,0.0,0,0,0,
