gid,role,rule_id,role_score,cluster_id,priority_score,evidence,depth,is_seed,truncated,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,seed_reach,seed_direct,seed_money,seed_money_share,rep_in,betweenness,pagerank,fast_share,seq_ok,reciprocal,sync_payers_day,p_money,p_turnover,p_betweenness,p_role,p_reach,p_multiplier,priority_raw
100000000343175100,distributor,R2,0.673,11,0.5914,"рассылает 4,0 млн ₸ 31 получателю (33 переводов), плательщиков 8 — признаки веерной раздачи; seed: входящие извне выборки не видны",0,True,False,8.0,31.0,178712.0,4000039.0,14.0,33.0,22.382598818210305,7,1,74168.06362706542,0.0013413358471579247,2,0.001113447146722526,0.0007166946382018727,0.04330257779986645,True,0,2,0.0618,0.1485,0.0984,0.225,0.0543,0.85,0.4998
100000000456947100,peripheral,R0,0.5,0,0.0,нет переводов от 5 000 ₸ внутри банка за июль — вне сети,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0.0,0.0,,True,0,0,0.0,0.0007,0.0367,0.03,0.0011,0.85,0.0582
100000000580561100,transit,R5,0.55,47,0.3441,"seed-курьер, транзит: передаёт дальше 1,5 млн ₸ 3 получателям; входящие извне выборки не видны",0,True,False,2.0,3.0,27980.0,1488077.0,3.0,13.0,53.183595425303785,0,0,18188.876905041034,0.0003289474123923511,1,1.2092493060924398e-06,0.0008384348345170707,0.015913155031628066,True,2,1,0.0306,0.1431,0.076,0.12,0.0011,0.85,0.3152
100000001415126100,peripheral,R8a,0.5,20,0.1254,"разовый входящий 27 тыс ₸ от 1 плательщика, дальше не отправлял; меньше 100 тыс ₸ — признаков роли нет",0,True,False,1.0,0.0,27000.0,0.0,1.0,0.0,0.0,7,0,4329.031393003198,7.829090725766527e-05,0,0.0,0.0004114090098163562,,True,0,1,0.0149,0.0428,0.0367,0.03,0.0543,0.85,0.1519
100000001429930100,peripheral,R8a,0.5,14,0.1099,"разовый входящий 26 тыс ₸ от 1 плательщика, дальше не отправлял; меньше 100 тыс ₸ — признаков роли нет",0,True,False,1.0,0.0,26000.0,0.0,1.0,0.0,0.0,7,0,207.77334668922398,3.757598949860226e-06,0,0.0,0.0003523464564592315,,True,0,1,0.0033,0.0407,0.0367,0.03,0.0543,0.85,0.1402
100000001616816100,transit,R5,0.55,10,0.4741,"seed-курьер, транзит: передаёт дальше 181 тыс ₸ 3 получателям; входящие извне выборки не видны",0,True,False,5.0,3.0,176195.0,181326.0,12.0,10.0,1.0291211441868384,10,0,57745.80943654579,0.0010443379593925892,2,0.0001064947274559291,0.0024461862547303496,0.6713598711712606,True,2,1,0.0545,0.1211,0.0933,0.12,0.0961,0.85,0.4122
100000001732159100,transit,R5,0.55,38,0.8258,"seed-курьер, транзит: передаёт дальше 1,5 млн ₸ 4 получателям; входящие извне выборки не видны",0,True,False,2.0,4.0,2378100.0,1505966.0,30.0,23.0,0.633264370716118,9,2,2378100.0,0.04300814423530706,2,2.0618231041378772e-05,0.001099397432375524,0.6309279226755451,True,2,2,0.35,0.1482,0.0848,0.12,0.0909,0.85,0.6748
100000002527114100,distributor,R2,0.95,2,0.5086,"рассылает 3,3 млн ₸ 111 получателям (113 переводов), плательщиков 3 — признаки веерной раздачи; seed: входящие извне выборки не видны",0,True,False,3.0,111.0,129000.0,3289249.0,4.0,113.0,25.49805426356589,0,0,40546.65093273082,0.000733289689909396,1,0.00019670455379103686,0.0008146179725184579,0.039218678792636255,True,3,1,0.0457,0.1479,0.0956,0.225,0.0011,0.85,0.438
100000002916006100,transit,R5,0.55,20,0.1577,"seed-курьер, транзит: передаёт дальше 32 тыс ₸ 1 получателю; входящие извне выборки не видны",0,True,False,0.0,1.0,0.0,32000.0,0.0,1.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.0492,0.0367,0.12,0.0011,0.85,0.176
100000003016635100,coordinator,R1,0.902,4,0.6652,"получает от 8 плательщиков и рассылает 73 получателям (587 тыс ₸ → 9,4 млн ₸); узел-посредник, betweenness в топ-1% — признаки координатора; seed: входящие извне выборки не видны",0,True,False,8.0,73.0,586981.0,9414081.0,36.0,151.0,16.038135817002594,6,0,106066.21256168254,0.001918216630228157,4,0.00733908623831256,0.0011952566810188184,0.062351386184163915,True,6,3,0.0739,0.1498,0.1,0.3,0.0291,0.85,0.5549
100000003200071100,transit,R5,0.55,67,0.1543,"seed-курьер, транзит: передаёт дальше 30 тыс ₸ 1 получателю; входящие извне выборки не видны",0,True,False,0.0,1.0,0.0,30000.0,0.0,1.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.0462,0.0367,0.12,0.0011,0.85,0.1734
100000003265658100,peripheral,R0,0.5,0,0.0,нет переводов от 5 000 ₸ внутри банка за июль — вне сети,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0.0,0.0,,True,0,0,0.0,0.0007,0.0367,0.03,0.0011,0.85,0.0582
100000003349739100,peripheral,R0,0.5,0,0.0,нет переводов от 5 000 ₸ внутри банка за июль — вне сети,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0.0,0.0,,True,0,0,0.0,0.0007,0.0367,0.03,0.0011,0.85,0.0582
100000003684369100,coordinator,R1,0.915,3,0.8333,"получает от 24 плательщиков и рассылает 62 получателям (3,8 млн ₸ → 8,6 млн ₸); узел-посредник, betweenness в топ-1% — признаки координатора; seed: входящие извне выборки не видны",0,True,False,24.0,62.0,3848436.0,8588655.0,58.0,67.0,2.2317260830113845,9,1,500392.25159962656,0.009049637160349355,11,0.002342531671550131,0.002028869963852267,0.43805019528668926,True,1,6,0.1605,0.1499,0.0992,0.3,0.0909,0.85,0.6804
100000003770083100,peripheral,R0,0.5,0,0.0,нет переводов от 5 000 ₸ внутри банка за июль — вне сети,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0.0,0.0,,True,0,0,0.0,0.0007,0.0367,0.03,0.0011,0.85,0.0582
100000003975102100,transit,R5,0.55,4,0.3549,"seed-курьер, транзит: передаёт дальше 88 тыс ₸ 2 получателям; входящие извне выборки не видны",0,True,False,1.0,2.0,25650.0,88500.0,1.0,2.0,3.4502923976608186,7,0,25647.6402654328,0.0004638397930410844,0,6.016015297809888e-06,0.000346992529923579,0.28983050847457625,True,0,1,0.0363,0.0911,0.0786,0.12,0.0543,0.85,0.3233
100000003977183100,transit,R5,0.55,10,0.3909,"seed-курьер, транзит: передаёт дальше 766 тыс ₸ 4 получателям; входящие извне выборки не видны",0,True,False,2.0,4.0,123800.0,766000.0,2.0,6.0,6.187399030694669,1,1,76057.77777777778,0.0013755114910573981,0,1.612332408123253e-06,0.00033293228527307104,0.10704960835509138,True,1,1,0.0626,0.1377,0.0768,0.12,0.0148,0.85,0.3501
100000004007116100,transit,R5,0.55,23,0.3246,"seed-курьер, транзит: передаёт дальше 148 тыс ₸ 4 получателям; входящие извне выборки не видны",0,True,False,3.0,4.0,764704.0,148000.0,24.0,6.0,0.19353893794200108,0,0,8032.405511680512,0.0001452667485819902,3,4.0308310203081327e-07,0.0006304640304726743,0.6621621621621622,True,2,1,0.0203,0.138,0.0742,0.12,0.0011,0.85,0.3006
100000004019124100,consolidator,R3,0.413,4,0.5893,получает 193 тыс ₸ от 3 плательщиков; seed: входящие извне выборки не видны — признаки консолидации,0,True,False,3.0,0.0,193000.0,0.0,3.0,0.0,0.0,11,2,157359.67078189302,0.0028458632596644754,0,0.0,0.0012079590546220128,,True,0,1,0.09,0.1053,0.0367,0.255,0.0992,0.85,0.4983
100000004021459100,peripheral,R0,0.5,0,0.0,нет переводов от 5 000 ₸ внутри банка за июль — вне сети,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0.0,0.0,,True,0,0,0.0,0.0007,0.0367,0.03,0.0011,0.85,0.0582
100000004041163100,transit,R5,0.55,20,0.486,"seed-курьер, транзит: передаёт дальше 866 тыс ₸ 2 получателям; входящие извне выборки не видны",0,True,False,1.0,2.0,50000.0,866000.0,1.0,6.0,17.32,14,1,50000.0,0.0009042543256235452,0,2.3781903019817984e-05,0.002092903857705781,0.05542725173210162,True,1,1,0.0508,0.1383,0.0864,0.12,0.0999,0.85,0.4211
100000004174835100,peripheral,R0,0.5,0,0.0,нет переводов от 5 000 ₸ внутри банка за июль — вне сети,0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0.0,0.0,,True,0,0,0.0,0.0007,0.0367,0.03,0.0011,0.85,0.0582
100000004193835100,transit,R5,0.55,4,0.3342,"seed-курьер, транзит: передаёт дальше 5 тыс ₸ 1 получателю; входящие извне выборки не видны",0,True,False,1.0,1.0,47000.0,5000.0,1.0,1.0,0.10638297872340426,7,0,35339.64670189406,0.0006391205679239112,0,6.791950269219204e-06,0.00047199654932406684,1.0,True,0,1,0.0427,0.0665,0.0786,0.12,0.0543,0.85,0.3078
100000004269433100,transit,R5,0.55,16,0.2633,"seed-курьер, транзит: передаёт дальше 1,4 млн ₸ 1 получателю; входящие извне выборки не видны",0,True,False,0.0,1.0,0.0,1372000.0,0.0,67.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.142,0.0367,0.12,0.0011,0.85,0.2548
100000004358004100,distributor,R2,0.603,3,0.3791,"рассылает 981 тыс ₸ 11 получателям (17 переводов), плательщиков 0 — признаки веерной раздачи; seed: входящие извне выборки не видны",0,True,False,0.0,11.0,0.0,980850.0,0.0,17.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.1387,0.0367,0.225,0.0011,0.85,0.3413
100000004388983100,transit,R5,0.55,63,0.246,"seed-курьер, транзит: передаёт дальше 451 тыс ₸ 2 получателям; входящие извне выборки не видны",0,True,False,0.0,2.0,0.0,450816.0,0.0,23.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.1268,0.0367,0.12,0.0011,0.85,0.2419
100000004714705100,transit,R5,0.55,20,0.1618,"seed-курьер, транзит: передаёт дальше 37 тыс ₸ 1 получателю; входящие извне выборки не видны",0,True,False,0.0,1.0,0.0,36550.0,0.0,1.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.0528,0.0367,0.12,0.0011,0.85,0.179
100000004723755100,transit,R5,0.55,3,0.1984,"seed-курьер, транзит: передаёт дальше 95 тыс ₸ 1 получателю; входящие извне выборки не видны",0,True,False,0.0,1.0,0.0,95000.0,0.0,5.0,,0,0,0.0,0.0,0,0.0,0.0002868488506751384,,True,0,0,0.0,0.085,0.0367,0.12,0.0011,0.85,0.2064
